,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,437,513,674,980,1010,33828.0,3.2259,0.332119,582.136003,683.377047,897.848206,1305.47662,1345.44019
1,2007,453,531,698,1015,1046,33828.0,2.8527,0.29986,588.83658,690.2256600000001,907.30228,1319.3579,1359.65356
2,2008,522,612,804,1169,1204,33828.0,3.8391,0.271333,663.635826,778.055796,1022.151732,1486.188277,1530.6849320000001
3,2009,546,640,841,1223,1260,33828.0,-0.3555,0.232942,673.186332,789.08288,1036.9042220000001,1507.888066,1553.50692
4,2010,563,660,867,1261,1299,33828.0,1.64,0.23649699999999999,696.147811,816.08802,1072.042899,1559.222717,1606.209603
5,2011,577,677,889,1293,1332,33828.0,3.1568,0.22009700000000001,703.9959690000001,826.005669,1084.666233,1577.585421,1625.169204
6,2012,576,675,887,1290,1329,33828.0,2.0693,0.18852900000000003,684.592704,802.257075,1054.225223,1533.20241,1579.555041
7,2013,700,740,1001,1400,1405,34895.0,1.4648,0.16783600000000004,817.4852000000001,864.1986400000001,1169.003836,1634.9704000000002,1640.80958
8,2014,660,698,945,1321,1326,34895.0,1.6222,0.15318800000000005,761.1040800000001,804.9252240000001,1089.76266,1523.3613480000001,1529.1272880000001
9,2015,646,683,924,1292,1297,34895.0,0.1186,0.136966,734.480036,776.547778,1050.556584,1468.960072,1474.644902
10,2016,621,723,968,1378,1690,34895.0,1.2616,0.13577999999999998,705.31938,821.16894,1099.43504,1565.10484,1919.4682
11,2017,635,690,917,1273,1616,34895.0,2.1301,0.123164,713.2091399999999,774.98316,1029.941388,1429.787772,1815.033024
12,2018,596,653,868,1220,1454,34895.0,2.4426,0.101863,656.710348,719.516539,956.417084,1344.27286,1602.108802
13,2019,577,641,848,1226,1356,34895.0,1.8122,0.07743699999999999,621.681149,690.637117,913.666576,1320.937762,1461.004572
14,2020,609,684,901,1300,1403,31470.0,1.2336,0.059315,645.122835,724.57146,954.442815,1377.1095,1486.218945
15,2021,633,709,935,1338,1439,31470.0,4.6979,0.046979,662.737707,742.308111,978.925365,1400.857902,1506.602781
0,2022,641,707,938,1343,1431,,,,,,,,
