,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,428,439,578,752,772,26453.0,3.2259,0.332119,570.146932,584.800241,769.964782,1001.7534880000001,1028.395868
1,2007,443,454,598,778,799,26453.0,2.8527,0.29986,575.83798,590.13644,777.31628,1011.29108,1038.58814
2,2008,511,524,690,898,922,26453.0,3.8391,0.271333,649.651163,666.178492,877.2197699999999,1141.657034,1172.169026
3,2009,535,549,722,939,965,26453.0,-0.3555,0.232942,659.62397,676.885158,890.184124,1157.732538,1189.78903
4,2010,552,566,745,969,995,26453.0,1.64,0.23649699999999999,682.546344,699.857302,921.190265,1198.165593,1230.314515
5,2011,566,581,764,994,1021,26453.0,3.1568,0.22009700000000001,690.5749020000001,708.876357,932.154108,1212.776418,1245.719037
6,2012,548,562,739,961,987,26453.0,2.0693,0.18852900000000003,651.313892,667.953298,878.322931,1142.176369,1173.078123
7,2013,570,574,776,1119,1374,28122.0,1.4648,0.16783600000000004,665.66652,670.3378640000001,906.240736,1306.8084840000001,1604.6066640000001
8,2014,605,609,824,1189,1459,28122.0,1.6222,0.15318800000000005,697.6787400000001,702.2914920000001,950.2269120000001,1371.1405320000001,1682.5012920000001
9,2015,570,574,777,1121,1376,28122.0,0.1186,0.136966,648.07062,652.618484,883.422582,1274.538886,1564.465216
10,2016,611,615,823,1144,1336,28122.0,1.2616,0.13577999999999998,693.96158,698.5047,934.74694,1299.33232,1517.40208
11,2017,537,583,775,1049,1068,28122.0,2.1301,0.123164,603.139068,654.804612,870.4521,1178.199036,1199.539152
12,2018,558,611,813,1060,1107,28122.0,2.4426,0.101863,614.839554,673.238293,895.814619,1167.97478,1219.762341
13,2019,569,632,836,1047,1130,28122.0,1.8122,0.07743699999999999,613.061653,680.940184,900.737332,1128.076539,1217.50381
14,2020,597,670,883,1100,1196,27935.0,1.2336,0.059315,632.411055,709.74105,935.375145,1165.2465,1266.94074
15,2021,627,703,926,1152,1256,27935.0,4.6979,0.046979,656.455833,736.026237,969.502554,1206.119808,1315.005624
0,2022,615,704,917,1202,1292,,,,,,,,
