,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,614,831,924,1309,1621,53234.0,3.2259,0.332119,817.921066,1106.990889,1230.877956,1743.743771,2159.364899
1,2007,619,838,932,1321,1635,53234.0,2.8527,0.29986,804.61334,1089.28268,1211.46952,1717.11506,2125.2711
2,2008,694,939,1045,1481,1833,53234.0,3.8391,0.271333,882.305102,1193.781687,1328.542985,1882.844173,2330.353389
3,2009,742,1005,1118,1584,1961,53234.0,-0.3555,0.232942,914.8429639999999,1239.10671,1378.4291560000001,1952.9801280000001,2417.799262
4,2010,797,1080,1201,1702,2107,53234.0,1.64,0.23649699999999999,985.488109,1335.41676,1485.032897,2104.517894,2605.299179
5,2011,847,1147,1276,1808,2238,53234.0,3.1568,0.22009700000000001,1033.422159,1399.451259,1556.843772,2205.935376,2730.5770860000002
6,2012,799,1082,1204,1706,2112,53234.0,2.0693,0.18852900000000003,949.634671,1285.988378,1430.988916,2027.630474,2510.173248
7,2013,701,871,1179,1737,2088,55269.0,1.4648,0.16783600000000004,818.653036,1017.185156,1376.8786440000001,2028.531132,2438.441568
8,2014,712,884,1196,1762,2118,55269.0,1.6222,0.15318800000000005,821.0698560000001,1019.4181920000001,1379.2128480000001,2031.9172560000002,2442.452184
9,2015,761,945,1279,1885,2265,55269.0,0.1186,0.136966,865.231126,1074.43287,1454.179514,2143.18091,2575.22799
10,2016,925,1025,1353,1972,2362,55269.0,1.2616,0.13577999999999998,1050.5965,1164.1745,1536.71034,2239.75816,2682.71236
11,2017,1019,1133,1490,2169,2625,55269.0,2.1301,0.123164,1144.504116,1272.544812,1673.51436,2436.142716,2948.3055
12,2018,1269,1277,1699,2471,2992,55269.0,2.4426,0.101863,1398.2641469999999,1407.079051,1872.065237,2722.703473,3296.774096
13,2019,1314,1323,1750,2530,3074,55269.0,1.8122,0.07743699999999999,1415.752218,1425.449151,1885.51475,2725.91561,3312.041338
14,2020,1290,1298,1710,2467,3002,58670.0,1.2336,0.059315,1366.51635,1374.99087,1811.42865,2613.330105,3180.06363
15,2021,1200,1270,1674,2396,2898,58670.0,4.6979,0.046979,1256.3748,1329.66333,1752.642846,2508.561684,3034.145142
0,2022,1194,1264,1575,2611,3231,,,,,,,,
