,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,1034,1161,1392,1992,2288,2846289.0,3.2259,0.332119,1377.411046,1546.5901589999999,1854.309648,2653.581048,3047.888272
1,2007,1103,1238,1485,2125,2441,2846289.0,2.8527,0.29986,1433.74558,1609.22668,1930.2921000000001,2762.2025,3172.95826
2,2008,1185,1330,1595,2282,2622,2846289.0,3.8391,0.271333,1506.529605,1690.87289,2027.776135,2901.181906,3333.435126
3,2009,1147,1296,1546,2188,2518,2846289.0,-0.3555,0.232942,1414.1844740000001,1597.892832,1906.128332,2697.677096,3104.547956
4,2010,1183,1336,1594,2256,2597,2846289.0,1.64,0.23649699999999999,1462.775951,1651.959992,1970.976218,2789.537232,3211.1827089999997
5,2011,1175,1327,1584,2241,2580,2846289.0,3.1568,0.22009700000000001,1433.613975,1619.068719,1932.633648,2734.237377,3147.85026
6,2012,1226,1384,1652,2338,2691,2846289.0,2.0693,0.18852900000000003,1457.1365540000002,1644.924136,1963.449908,2778.780802,3198.3315390000002
7,2013,1126,1294,1621,2268,2525,3010232.0,1.4648,0.16783600000000004,1314.983336,1511.179784,1893.062156,2648.652048,2948.7859
8,2014,1142,1312,1644,2300,2561,3010232.0,1.6222,0.15318800000000005,1316.9406960000001,1512.9826560000001,1895.8410720000002,2652.3324000000002,2953.314468
9,2015,1117,1283,1608,2250,2505,3010232.0,0.1186,0.136966,1269.991022,1458.727378,1828.241328,2558.1735,2848.09983
10,2016,1161,1324,1672,2327,2532,3010232.0,1.2616,0.13577999999999998,1318.64058,1503.77272,1899.02416,2642.96006,2875.79496
11,2017,1257,1436,1813,2531,2760,3010232.0,2.1301,0.123164,1411.817148,1612.863504,2036.296332,2842.728084,3099.93264
12,2018,1294,1493,1876,2626,3045,3010232.0,2.4426,0.101863,1425.810722,1645.081459,2067.094988,2893.492238,3355.172835
13,2019,1415,1632,2037,2862,3304,3010232.0,1.8122,0.07743699999999999,1524.573355,1758.377184,2194.739169,3083.624694,3559.851848
14,2020,1563,1785,2216,3098,3578,3155815.0,1.2336,0.059315,1655.709345,1890.877275,2347.44204,3281.75787,3790.22907
15,2021,1678,1888,2331,3227,3716,3155815.0,4.6979,0.046979,1756.830762,1976.696352,2440.508049,3378.601233,3890.573964
0,2022,1735,2020,2471,3477,3778,,,,,,,,
