,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,828,924,1037,1366,1559,399347.0,3.2259,0.332119,1102.994532,1230.877956,1381.407403,1819.674554,2076.773521
1,2007,856,956,1073,1413,1613,399347.0,2.8527,0.29986,1112.68016,1242.66616,1394.74978,1836.70218,2096.67418
2,2008,1065,1189,1334,1757,2005,399347.0,3.8391,0.271333,1353.9696450000001,1511.614937,1695.958222,2233.732081,2549.022665
3,2009,1007,1124,1262,1662,1897,399347.0,-0.3555,0.232942,1241.572594,1385.826808,1555.972804,2049.149604,2338.890974
4,2010,1005,1122,1259,1658,1892,399347.0,1.64,0.23649699999999999,1242.6794849999999,1387.349634,1556.749723,2050.112026,2339.452324
5,2011,978,1091,1225,1613,1841,399347.0,3.1568,0.22009700000000001,1193.254866,1331.125827,1494.618825,1968.0164610000002,2246.198577
6,2012,1073,1198,1344,1770,2020,399347.0,2.0693,0.18852900000000003,1275.291617,1423.8577420000001,1597.382976,2103.69633,2400.82858
7,2013,1035,1190,1426,1906,2206,423895.0,1.4648,0.16783600000000004,1208.71026,1389.72484,1665.334136,2225.8954160000003,2576.246216
8,2014,1042,1197,1435,1918,2220,423895.0,1.6222,0.15318800000000005,1201.621896,1380.3660360000001,1654.8247800000001,2211.814584,2560.07736
9,2015,1060,1218,1460,1951,2259,423895.0,0.1186,0.136966,1205.18396,1384.824588,1659.97036,2218.220666,2568.406194
10,2016,1065,1226,1451,1995,2311,423895.0,1.2616,0.13577999999999998,1209.6057,1392.46628,1648.01678,2265.8811,2624.78758
11,2017,1131,1323,1555,2128,2483,423895.0,2.1301,0.123164,1270.298484,1485.945972,1746.52002,2390.092992,2788.816212
12,2018,1104,1297,1520,2064,2403,423895.0,2.4426,0.101863,1216.456752,1429.116311,1674.83176,2274.245232,2647.776789
13,2019,1403,1667,1951,2625,3040,423895.0,1.8122,0.07743699999999999,1511.644111,1796.087479,2102.079587,2828.272125,3275.40848
14,2020,1684,1964,2324,3101,3572,442995.0,1.2336,0.059315,1783.88646,2080.49466,2461.84806,3284.935815,3783.87318
15,2021,1728,2015,2374,3137,3589,442995.0,4.6979,0.046979,1809.179712,2109.662685,2485.528146,3284.373123,3757.607631
0,2022,1750,2084,2382,3344,3639,,,,,,,,
