,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,498,559,713,1017,1047,17130.0,3.2259,0.332119,663.395262,744.6545209999999,949.800847,1354.765023,1394.728593
1,2007,516,579,738,1052,1083,17130.0,2.8527,0.29986,670.72776,752.6189400000001,959.29668,1367.45272,1407.74838
2,2008,594,666,850,1212,1248,17130.0,3.8391,0.271333,755.171802,846.707778,1080.63305,1540.8555959999999,1586.623584
3,2009,622,698,890,1269,1307,17130.0,-0.3555,0.232942,766.8899240000001,860.593516,1097.31838,1564.603398,1611.4551940000001
4,2010,642,720,918,1309,1348,17130.0,1.64,0.23649699999999999,793.831074,890.27784,1135.1042459999999,1618.5745729999999,1666.7979559999999
5,2011,658,738,941,1342,1381,17130.0,3.1568,0.22009700000000001,802.823826,900.431586,1148.111277,1637.3701740000001,1684.953957
6,2012,581,652,831,1185,1220,17130.0,2.0693,0.18852900000000003,690.535349,774.920908,987.667599,1408.406865,1450.00538
7,2013,605,614,831,1035,1341,18251.0,1.4648,0.16783600000000004,706.54078,717.0513040000001,970.471716,1208.71026,1566.068076
8,2014,563,572,774,964,1249,18251.0,1.6222,0.15318800000000005,649.2448440000001,659.6235360000001,892.5675120000001,1111.673232,1440.3318120000001
9,2015,611,621,840,1046,1356,18251.0,0.1186,0.136966,694.686226,706.055886,955.05144,1189.2664359999999,1541.725896
10,2016,657,705,943,1182,1596,18251.0,1.2616,0.13577999999999998,746.20746,800.7248999999999,1071.04054,1342.49196,1812.70488
11,2017,598,728,864,1143,1411,18251.0,2.1301,0.123164,671.652072,817.663392,970.413696,1283.776452,1584.784404
12,2018,626,717,912,1286,1555,18251.0,2.4426,0.101863,689.766238,790.035771,1004.899056,1416.9958179999999,1713.396965
13,2019,662,736,973,1337,1709,18251.0,1.8122,0.07743699999999999,713.263294,792.9936319999999,1048.346201,1440.533269,1841.339833
14,2020,716,804,1059,1376,1859,17660.0,1.2336,0.059315,758.46954,851.68926,1121.814585,1457.61744,1969.266585
15,2021,746,836,1102,1402,1908,17660.0,4.6979,0.046979,781.046334,875.274444,1153.770858,1467.864558,1997.635932
0,2022,736,844,1154,1507,1974,,,,,,,,
