,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,473,562,678,956,1141,203171.0,3.2259,0.332119,630.0922869999999,748.650878,903.176682,1273.505764,1519.947779
1,2007,489,582,702,990,1181,203171.0,2.8527,0.29986,635.63154,756.51852,912.50172,1286.8614,1535.13466
2,2008,551,655,790,1114,1330,203171.0,3.8391,0.271333,700.5044829999999,832.723115,1004.35307,1416.264962,1690.87289
3,2009,576,685,826,1165,1390,203171.0,-0.3555,0.232942,710.1745920000001,844.56527,1018.4100920000001,1436.37743,1713.78938
4,2010,594,706,852,1201,1434,203171.0,1.64,0.23649699999999999,734.479218,872.9668819999999,1053.495444,1485.032897,1773.136698
5,2011,609,725,874,1232,1471,203171.0,3.1568,0.22009700000000001,743.039073,884.570325,1066.3647780000001,1503.159504,1794.762687
6,2012,625,743,896,1263,1508,203171.0,2.0693,0.18852900000000003,742.830625,883.077047,1064.921984,1501.112127,1792.3017320000001
7,2013,532,666,878,1253,1555,220000.0,1.4648,0.16783600000000004,621.288752,777.778776,1025.360008,1463.298508,1815.9849800000002
8,2014,516,646,851,1215,1507,220000.0,1.6222,0.15318800000000005,595.045008,744.9594480000001,981.3629880000001,1401.1234200000001,1737.8543160000002
9,2015,527,660,870,1242,1541,220000.0,0.1186,0.136966,599.1810820000001,750.39756,989.16042,1412.111772,1752.064606
10,2016,622,713,907,1318,1584,220000.0,1.2616,0.13577999999999998,706.45516,809.81114,1030.15246,1496.95804,1799.0755199999999
11,2017,656,729,923,1344,1614,220000.0,2.1301,0.123164,736.795584,818.786556,1036.680372,1509.532416,1812.7866960000001
12,2018,712,785,992,1443,1689,220000.0,2.4426,0.101863,784.526456,864.962455,1093.048096,1589.988309,1861.046607
13,2019,808,894,1144,1654,1921,220000.0,1.8122,0.07743699999999999,870.569096,963.228678,1232.587928,1782.080798,2069.756477
14,2020,761,842,1090,1567,1881,225205.0,1.2336,0.059315,806.138715,891.94323,1154.65335,1659.946605,1992.571515
15,2021,825,904,1192,1692,2064,225205.0,4.6979,0.046979,863.757675,946.469016,1247.998968,1771.488468,2160.964656
0,2022,819,929,1274,1718,2113,,,,,,,,
