,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,602,686,846,1162,1463,563598.0,3.2259,0.332119,801.935638,913.833634,1126.972674,1547.922278,1948.890097
1,2007,623,710,876,1203,1515,563598.0,2.8527,0.29986,809.81278,922.9005999999999,1138.6773600000001,1563.7315800000001,1969.2879
2,2008,650,741,914,1255,1580,563598.0,3.8391,0.271333,826.36645,942.057753,1161.998362,1595.522915,2008.70614
3,2009,675,770,950,1304,1643,563598.0,-0.3555,0.232942,832.23585,949.3653400000001,1171.2949,1607.756368,2025.723706
4,2010,673,768,947,1300,1637,563598.0,1.64,0.23649699999999999,832.162481,949.629696,1170.962659,1607.4461000000001,2024.145589
5,2011,656,748,922,1266,1594,563598.0,3.1568,0.22009700000000001,800.383632,912.632556,1124.9294340000001,1544.642802,1944.834618
6,2012,643,733,904,1241,1563,563598.0,2.0693,0.18852900000000003,764.224147,871.191757,1074.430216,1474.964489,1857.670827
7,2013,638,760,997,1469,1766,685306.0,1.4648,0.16783600000000004,745.079368,887.5553600000001,1164.332492,1715.5510840000002,2062.398376
8,2014,595,709,930,1370,1647,685306.0,1.6222,0.15318800000000005,686.1468600000001,817.6102920000001,1072.46484,1579.8675600000001,1899.3006360000002
9,2015,605,721,946,1394,1675,685306.0,0.1186,0.136966,687.86443,819.752486,1075.5698360000001,1584.9306040000001,1904.41805
10,2016,616,735,967,1409,1688,685306.0,1.2616,0.13577999999999998,699.64048,834.7982999999999,1098.29926,1600.31402,1917.19664
11,2017,617,733,967,1408,1704,685306.0,2.1301,0.123164,692.9921879999999,823.279212,1086.099588,1581.414912,1913.871456
12,2018,631,746,990,1440,1744,685306.0,2.4426,0.101863,695.275553,821.989798,1090.84437,1586.68272,1921.649072
13,2019,702,826,1092,1579,1918,685306.0,1.8122,0.07743699999999999,756.360774,889.962962,1176.561204,1701.273023,2066.524166
14,2020,745,869,1144,1650,2009,724155.0,1.2336,0.059315,789.189675,920.544735,1211.85636,1747.86975,2128.163835
15,2021,845,964,1270,1818,2199,724155.0,4.6979,0.046979,884.697255,1009.287756,1329.66333,1903.407822,2302.306821
0,2022,834,1019,1210,1774,2181,,,,,,,,
