,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,749,912,1151,1633,1910,458614.0,3.2259,0.332119,997.757131,1214.8925279999999,1533.268969,2175.350327,2544.34729
1,2007,758,923,1165,1653,1933,458614.0,2.8527,0.29986,985.29388,1199.77078,1514.3369,2148.66858,2512.6293800000003
2,2008,740,901,1137,1613,1886,458614.0,3.8391,0.271333,940.78642,1145.471033,1445.505621,2050.660129,2397.734038
3,2009,844,1026,1296,1839,2150,458614.0,-0.3555,0.232942,1040.603048,1264.998492,1597.892832,2267.380338,2650.8253
4,2010,850,1034,1306,1853,2167,458614.0,1.64,0.23649699999999999,1051.02245,1278.537898,1614.865082,2291.228941,2679.488999
5,2011,842,1024,1293,1835,2145,458614.0,3.1568,0.22009700000000001,1027.321674,1249.379328,1577.585421,2238.877995,2617.108065
6,2012,767,933,1178,1672,1954,458614.0,2.0693,0.18852900000000003,911.601743,1108.897557,1400.087162,1987.220488,2322.385666
7,2013,873,1018,1332,1963,2301,483878.0,1.4648,0.16783600000000004,1019.520828,1188.857048,1555.557552,2292.4620680000003,2687.1906360000003
8,2014,820,956,1251,1843,2161,483878.0,1.6222,0.15318800000000005,945.6141600000001,1102.447728,1442.6381880000001,2125.325484,2492.039268
9,2015,898,1047,1370,2019,2367,483878.0,0.1186,0.136966,1020.995468,1190.403402,1557.6434199999999,2295.534354,2691.198522
10,2016,934,1090,1414,2061,2469,483878.0,1.2616,0.13577999999999998,1060.81852,1238.0002,1605.99292,2340.84258,2804.24082
11,2017,1047,1213,1572,2288,2770,483878.0,2.1301,0.123164,1175.952708,1362.397932,1765.613808,2569.799232,3111.16428
12,2018,1224,1420,1843,2681,3246,483878.0,2.4426,0.101863,1348.680312,1564.64546,2030.733509,2954.0947029999998,3576.647298
13,2019,1254,1447,1887,2728,3298,483878.0,1.8122,0.07743699999999999,1351.105998,1559.051339,2033.123619,2939.248136,3553.387226
14,2020,1302,1489,1949,2798,3302,500945.0,1.2336,0.059315,1379.22813,1577.320035,2064.604935,2963.96337,3497.85813
15,2021,1340,1519,1996,2825,3254,500945.0,4.6979,0.046979,1402.95186,1590.361101,2089.7700839999998,2957.715675,3406.869666
0,2022,1428,1597,2052,3022,3464,,,,,,,,
