,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,548,548,659,961,1060,40554.0,3.2259,0.332119,730.001212,730.001212,877.866421,1280.166359,1412.04614
1,2007,567,567,682,994,1097,40554.0,2.8527,0.29986,737.02062,737.02062,886.50452,1292.06084,1425.94642
2,2008,655,656,788,1149,1267,40554.0,3.8391,0.271333,832.723115,833.994448,1001.8104040000001,1460.7616170000001,1610.7789109999999
3,2009,686,686,825,1203,1327,40554.0,-0.3555,0.232942,845.798212,845.798212,1017.17715,1483.229226,1636.114034
4,2010,707,708,851,1241,1368,40554.0,1.64,0.23649699999999999,874.203379,875.439876,1052.258947,1534.492777,1691.527896
5,2011,725,726,873,1273,1404,40554.0,3.1568,0.22009700000000001,884.570325,885.790422,1065.144681,1553.183481,1713.016188
6,2012,707,708,851,1241,1368,40554.0,2.0693,0.18852900000000003,840.2900030000001,841.4785320000001,1011.438179,1474.964489,1625.907672
7,2013,672,732,923,1360,1635,45578.0,1.4648,0.16783600000000004,784.785792,854.855952,1077.912628,1588.2569600000002,1909.4118600000002
8,2014,675,736,928,1367,1644,45578.0,1.6222,0.15318800000000005,778.4019000000001,848.7463680000001,1070.158464,1576.4079960000001,1895.8410720000002
9,2015,642,699,882,1300,1562,45578.0,0.1186,0.136966,729.932172,794.739234,1002.8040120000001,1478.0558,1775.940892
10,2016,645,713,925,1348,1615,45578.0,1.2616,0.13577999999999998,732.5781,809.81114,1050.5965,1531.03144,1834.2847
11,2017,600,665,867,1262,1528,45578.0,2.1301,0.123164,673.8984,746.90406,973.783188,1417.432968,1716.194592
12,2018,619,763,902,1312,1589,45578.0,2.4426,0.101863,682.053197,840.721469,993.8804259999999,1445.644256,1750.860307
13,2019,633,799,930,1345,1634,45578.0,1.8122,0.07743699999999999,682.017621,860.872163,1002.01641,1449.152765,1760.532058
14,2020,668,849,988,1425,1735,45055.0,1.2336,0.059315,707.62242,899.358435,1046.60322,1509.523875,1837.911525
15,2021,718,837,1061,1518,1837,45055.0,4.6979,0.046979,751.730922,876.321423,1110.844719,1589.314122,1923.300423
0,2022,732,868,1033,1499,1894,,,,,,,,
