,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,500,502,653,843,1146,18804.0,3.2259,0.332119,666.0595,668.723738,869.873707,1122.976317,1526.608374
1,2007,518,520,676,873,1186,18804.0,2.8527,0.29986,673.32748,675.9272,878.70536,1134.77778,1541.6339600000001
2,2008,597,599,779,1006,1367,18804.0,3.8391,0.271333,758.985801,761.528467,990.3684069999999,1278.960998,1737.912211
3,2009,624,627,815,1052,1430,18804.0,-0.3555,0.232942,769.355808,773.054634,1004.84773,1297.054984,1763.10706
4,2010,644,647,841,1086,1476,18804.0,1.64,0.23649699999999999,796.304068,800.013559,1039.893977,1342.835742,1825.0695719999999
5,2011,660,663,862,1113,1513,18804.0,3.1568,0.22009700000000001,805.2640200000001,808.924311,1051.723614,1357.967961,1846.006761
6,2012,579,581,756,976,1327,18804.0,2.0693,0.18852900000000003,688.158291,690.535349,898.527924,1160.004304,1577.177983
7,2013,562,566,766,1129,1357,21419.0,1.4648,0.16783600000000004,656.323832,660.995176,894.5623760000001,1318.486844,1584.7534520000002
8,2014,596,600,812,1197,1438,21419.0,1.6222,0.15318800000000005,687.3000480000001,691.9128000000001,936.3886560000001,1380.3660360000001,1658.2843440000001
9,2015,569,573,775,1142,1373,21419.0,0.1186,0.136966,646.933654,651.481518,881.14865,1298.415172,1561.054318
10,2016,524,701,850,1239,1358,21419.0,1.2616,0.13577999999999998,595.14872,796.18178,965.413,1407.23142,1542.38924
11,2017,522,712,822,1197,1356,21419.0,2.1301,0.123164,586.291608,799.692768,923.240808,1344.427308,1523.010384
12,2018,546,745,856,1245,1441,21419.0,2.4426,0.101863,601.617198,820.887935,943.1947279999999,1371.8194349999999,1587.784583
13,2019,608,736,893,1291,1569,21419.0,1.8122,0.07743699999999999,655.081696,792.9936319999999,962.151241,1390.971167,1690.498653
14,2020,634,712,938,1353,1647,21480.0,1.2336,0.059315,671.60571,754.23228,993.63747,1433.253195,1744.691805
15,2021,654,733,966,1382,1673,21480.0,4.6979,0.046979,684.724266,767.435607,1011.381714,1446.924978,1751.595867
0,2022,652,730,971,1411,1685,,,,,,,,
