,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,407,463,604,878,1054,56039.0,3.2259,0.332119,542.172433,616.771097,804.599876,1169.600482,1404.053426
1,2007,421,479,625,908,1091,56039.0,2.8527,0.29986,547.2410600000001,622.63294,812.4125,1180.27288,1418.14726
2,2008,486,552,721,1048,1258,56039.0,3.8391,0.271333,617.867838,701.775816,916.631093,1332.356984,1599.336914
3,2009,509,578,755,1097,1317,56039.0,-0.3555,0.232942,627.567478,712.640476,930.87121,1352.537374,1623.7846140000001
4,2010,524,596,778,1130,1358,56039.0,1.64,0.23649699999999999,647.924428,736.952212,961.994666,1397.24161,1679.162926
5,2011,538,611,798,1159,1393,56039.0,3.1568,0.22009700000000001,656.412186,745.479267,973.637406,1414.092423,1699.595121
6,2012,524,595,777,1129,1356,56039.0,2.0693,0.18852900000000003,622.7891960000001,707.174755,923.487033,1341.8492410000001,1611.645324
7,2013,491,611,826,1165,1336,63463.0,1.4648,0.16783600000000004,573.407476,713.5477960000001,964.6325360000001,1360.5289400000001,1560.228896
8,2014,500,621,840,1185,1358,63463.0,1.6222,0.15318800000000005,576.594,716.1297480000001,968.6779200000001,1366.5277800000001,1566.0293040000001
9,2015,467,580,785,1107,1269,63463.0,0.1186,0.136966,530.963122,659.44028,892.51831,1258.621362,1442.809854
10,2016,517,626,838,1156,1160,63463.0,1.2616,0.13577999999999998,587.19826,710.99828,951.78364,1312.96168,1317.5048
11,2017,570,619,823,1130,1134,63463.0,2.1301,0.123164,640.20348,695.238516,924.363972,1269.17532,1273.667976
12,2018,563,617,820,1115,1119,63463.0,2.4426,0.101863,620.348869,679.849471,903.52766,1228.577245,1232.984697
13,2019,599,633,837,1142,1151,63463.0,1.8122,0.07743699999999999,645.384763,682.017621,901.814769,1230.433054,1240.129987
14,2020,649,689,908,1216,1304,63245.0,1.2336,0.059315,687.495435,729.868035,961.85802,1288.12704,1381.34676
15,2021,692,722,952,1261,1458,63245.0,4.6979,0.046979,724.509468,755.918838,996.724008,1320.240519,1526.495382
0,2022,743,710,953,1268,1421,,,,,,,,
