,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,827,931,1069,1510,1582,401762.0,3.2259,0.332119,1101.662413,1240.202789,1424.035211,2011.49969,2107.412258
1,2007,856,963,1106,1563,1637,401762.0,2.8527,0.29986,1112.68016,1251.7651799999999,1437.64516,2031.68118,2127.87082
2,2008,860,968,1111,1570,1644,401762.0,3.8391,0.271333,1093.34638,1230.6503440000001,1412.450963,1995.99281,2090.071452
3,2009,871,980,1125,1590,1665,401762.0,-0.3555,0.232942,1073.892482,1208.28316,1387.05975,1960.37778,2052.84843
4,2010,868,977,1122,1585,1661,401762.0,1.64,0.23649699999999999,1073.279396,1208.057569,1387.349634,1959.847745,2053.821517
5,2011,845,951,1092,1543,1616,401762.0,3.1568,0.22009700000000001,1030.981965,1160.312247,1332.345924,1882.6096710000002,1971.676752
6,2012,919,1034,1187,1677,1757,401762.0,2.0693,0.18852900000000003,1092.258151,1228.938986,1410.783923,1993.163133,2088.245453
7,2013,864,971,1223,1784,1994,415057.0,1.4648,0.16783600000000004,1009.010304,1133.968756,1428.263428,2083.419424,2328.664984
8,2014,871,980,1234,1800,2012,415057.0,1.6222,0.15318800000000005,1004.4267480000001,1130.12424,1423.0339920000001,2075.7384,2320.214256
9,2015,879,987,1244,1814,2029,415057.0,0.1186,0.136966,999.393114,1122.185442,1414.385704,2062.4563239999998,2306.904014
10,2016,961,1114,1399,2039,2181,415057.0,1.2616,0.13577999999999998,1091.48458,1265.25892,1588.95622,2315.85542,2477.13618
11,2017,950,1133,1417,2063,2206,415057.0,2.1301,0.123164,1067.0058,1272.544812,1591.523388,2317.087332,2477.699784
12,2018,986,1146,1433,2074,2215,415057.0,2.4426,0.101863,1086.4369179999999,1262.734998,1578.969679,2285.263862,2440.626545
13,2019,1089,1240,1540,2219,2378,415057.0,1.8122,0.07743699999999999,1173.3288929999999,1336.02188,1659.25298,2390.832703,2562.1451859999997
14,2020,1334,1467,1810,2606,2834,433170.0,1.2336,0.059315,1413.12621,1554.015105,1917.36015,2760.57489,3002.09871
15,2021,1348,1466,1793,2566,2813,433170.0,4.6979,0.046979,1411.327692,1534.871214,1877.233347,2686.548114,2945.151927
0,2022,1410,1490,1907,548,2980,,,,,,,,
