,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,455,533,701,1005,1113,126518.0,3.2259,0.332119,606.114145,710.019427,933.815419,1338.779595,1482.648447
1,2007,471,551,725,1040,1151,126518.0,2.8527,0.29986,612.23406,716.22286,942.3985,1351.8544,1496.13886
2,2008,543,636,837,1200,1329,126518.0,3.8391,0.271333,690.333819,808.5677880000001,1064.105721,1525.5996,1689.601557
3,2009,569,666,876,1256,1391,126518.0,-0.3555,0.232942,701.543998,821.139372,1080.057192,1548.575152,1715.022322
4,2010,586,686,903,1295,1434,126518.0,1.64,0.23649699999999999,724.5872420000001,848.236942,1116.556791,1601.2636149999998,1773.136698
5,2011,602,705,927,1329,1472,126518.0,3.1568,0.22009700000000001,734.498394,860.168385,1131.029919,1621.5089130000001,1795.982784
6,2012,572,670,882,1265,1401,126518.0,2.0693,0.18852900000000003,679.8385880000001,796.31443,1048.282578,1503.4891850000001,1665.129129
7,2013,657,722,973,1434,1668,134623.0,1.4648,0.16783600000000004,767.2682520000001,843.177592,1136.304428,1674.6768240000001,1947.950448
8,2014,665,731,986,1453,1691,134623.0,1.6222,0.15318800000000005,766.8700200000001,842.9804280000001,1137.043368,1675.5821640000001,1950.040908
9,2015,630,692,933,1375,1600,134623.0,0.1186,0.136966,716.28858,786.780472,1060.789278,1563.32825,1819.1456
10,2016,668,748,999,1444,1713,134623.0,1.2616,0.13577999999999998,758.70104,849.56344,1134.64422,1640.06632,1945.59114
11,2017,689,775,1026,1481,1723,134623.0,2.1301,0.123164,773.859996,870.4521,1152.366264,1663.405884,1935.211572
12,2018,639,729,956,1391,1600,134623.0,2.4426,0.101863,704.090457,803.2581270000001,1053.381028,1532.691433,1762.9808
13,2019,665,765,998,1443,1660,134623.0,1.8122,0.07743699999999999,716.495605,824.239305,1075.282126,1554.741591,1788.54542
14,2020,687,806,1040,1500,1797,135490.0,1.2336,0.059315,727.749405,853.80789,1101.6876,1588.9725,1903.589055
15,2021,741,863,1113,1593,1901,135490.0,4.6979,0.046979,775.811439,903.542877,1165.287627,1667.837547,1990.307079
0,2022,727,878,1093,1572,1874,,,,,,,,
