,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,437,493,606,882,944,60219.0,3.2259,0.332119,582.136003,656.734667,807.2641140000001,1174.928958,1257.520336
1,2007,452,510,627,912,976,60219.0,2.8527,0.29986,587.5367200000001,662.9286,815.0122200000001,1185.47232,1268.66336
2,2008,510,575,707,1029,1101,60219.0,3.8391,0.271333,648.37983,731.016475,898.832431,1308.201657,1399.737633
3,2009,534,602,740,1077,1152,60219.0,-0.3555,0.232942,658.391028,742.231084,912.37708,1327.878534,1420.3491840000002
4,2010,550,620,763,1110,1188,60219.0,1.64,0.23649699999999999,680.07335,766.62814,943.4472109999999,1372.5116699999999,1468.958436
5,2011,564,636,782,1138,1218,60219.0,3.1568,0.22009700000000001,688.134708,775.9816920000001,954.115854,1388.470386,1486.078146
6,2012,618,697,857,1247,1334,60219.0,2.0693,0.18852900000000003,734.510922,828.404713,1018.5693530000001,1482.095663,1585.4976860000002
7,2013,526,634,812,1173,1389,72155.0,1.4648,0.16783600000000004,614.281736,740.4080240000001,948.2828320000001,1369.871628,1622.124204
8,2014,512,617,790,1142,1351,72155.0,1.6222,0.15318800000000005,590.432256,711.5169960000001,911.0185200000001,1316.9406960000001,1557.9569880000001
9,2015,551,664,850,1228,1454,72155.0,0.1186,0.136966,626.468266,754.945424,966.4211,1396.194248,1653.148564
10,2016,628,661,861,1255,1503,72155.0,1.2616,0.13577999999999998,713.2698399999999,750.75058,977.90658,1425.4039,1707.07734
11,2017,663,679,886,1290,1561,72155.0,2.1301,0.123164,744.657732,762.6283559999999,995.123304,1448.88156,1753.259004
12,2018,674,678,887,1290,1562,72155.0,2.4426,0.101863,742.655662,747.063114,977.352481,1421.40327,1721.1100059999999
13,2019,670,674,878,1269,1542,72155.0,1.8122,0.07743699999999999,721.88279,726.192538,945.989686,1367.267553,1661.407854
14,2020,838,844,1087,1568,1908,74645.0,1.2336,0.059315,887.70597,894.06186,1151.475405,1661.00592,2021.17302
15,2021,875,881,1122,1606,1943,74645.0,4.6979,0.046979,916.106625,922.388499,1174.710438,1681.448274,2034.280197
0,2022,916,869,1098,1566,1951,,,,,,,,
