,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,484,576,744,1028,1059,54501.0,3.2259,0.332119,644.745596,767.300544,991.096536,1369.418332,1410.714021
1,2007,501,596,770,1064,1096,54501.0,2.8527,0.29986,651.22986,774.7165600000001,1000.8922,1383.05104,1424.6465600000001
2,2008,579,688,889,1229,1266,54501.0,3.8391,0.271333,736.101807,874.677104,1130.215037,1562.468257,1609.507578
3,2009,605,720,930,1285,1324,54501.0,-0.3555,0.232942,745.9299100000001,887.71824,1146.63606,1584.3304699999999,1632.415208
4,2010,624,742,959,1325,1366,54501.0,1.64,0.23649699999999999,771.574128,917.480774,1185.800623,1638.358525,1689.0549019999999
5,2011,640,761,983,1359,1400,54501.0,3.1568,0.22009700000000001,780.86208,928.493817,1199.355351,1658.111823,1708.1358
6,2012,605,719,929,1284,1323,54501.0,2.0693,0.18852900000000003,719.0600450000001,854.552351,1104.143441,1526.071236,1572.423867
7,2013,613,744,1007,1484,1489,55365.0,1.4648,0.16783600000000004,715.883468,868.869984,1176.010852,1733.068624,1738.907804
8,2014,575,698,944,1391,1396,55365.0,1.6222,0.15318800000000005,663.0831000000001,804.9252240000001,1088.609472,1604.0845080000001,1609.8504480000001
9,2015,580,704,952,1403,1408,55365.0,0.1186,0.136966,659.44028,800.424064,1082.391632,1595.163298,1600.848128
10,2016,733,747,1000,1365,1516,55365.0,1.2616,0.13577999999999998,832.52674,848.42766,1135.78,1550.3397,1721.84248
11,2017,615,729,969,1302,1477,55365.0,2.1301,0.123164,690.74586,818.786556,1088.345916,1462.359528,1658.913228
12,2018,654,746,957,1315,1496,55365.0,2.4426,0.101863,720.6184020000001,821.989798,1054.482891,1448.949845,1648.387048
13,2019,660,797,992,1365,1616,55365.0,1.8122,0.07743699999999999,711.10842,858.7172889999999,1068.817504,1470.701505,1741.138192
14,2020,694,827,1015,1453,1774,53900.0,1.2336,0.059315,735.16461,876.053505,1075.204725,1539.184695,1879.22481
15,2021,726,845,1101,1551,1906,53900.0,4.6979,0.046979,760.106754,884.697255,1152.723879,1623.864429,1995.541974
0,2022,713,863,472,1508,1862,,,,,,,,
