,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,914,1059,1273,1831,2015,1682585.0,3.2259,0.332119,1217.556766,1410.714021,1695.787487,2439.109889,2684.2197850000002
1,2007,922,1068,1284,1846,2033,1682585.0,2.8527,0.29986,1198.47092,1388.2504800000002,1669.02024,2399.54156,2642.61538
2,2008,928,1076,1293,1859,2047,1682585.0,3.8391,0.271333,1179.797024,1367.9543079999999,1643.833569,2363.408047,2602.418651
3,2009,961,1113,1338,1924,2118,1682585.0,-0.3555,0.232942,1184.857262,1372.2644460000001,1649.676396,2372.180408,2611.371156
4,2010,1032,1196,1438,2068,2276,1682585.0,1.64,0.23649699999999999,1276.064904,1478.850412,1778.082686,2557.075796,2814.267172
5,2011,1222,1416,1702,2447,2694,1682585.0,3.1568,0.22009700000000001,1490.958534,1727.657352,2076.605094,2985.577359,3286.941318
6,2012,1165,1350,1623,2334,2569,1682585.0,2.0693,0.18852900000000003,1384.636285,1604.51415,1928.982567,2774.026686,3053.331001
7,2013,1079,1262,1610,2270,2574,1781642.0,1.4648,0.16783600000000004,1260.0950440000001,1473.8090320000001,1880.21596,2650.98772,3006.009864
8,2014,1105,1293,1649,2325,2636,1781642.0,1.6222,0.15318800000000005,1274.27274,1491.0720840000001,1901.6070120000002,2681.1621,3039.8035680000003
9,2015,1213,1419,1809,2551,2892,1781642.0,0.1186,0.136966,1379.139758,1613.354754,2056.771494,2900.400266,3288.105672
10,2016,1348,1582,1994,2777,3098,1781642.0,1.2616,0.13577999999999998,1531.03144,1796.80396,2264.74532,3154.06106,3518.64644
11,2017,1507,1773,2220,3078,3545,1781642.0,2.1301,0.123164,1692.608148,1991.369772,2493.42408,3457.098792,3981.61638
12,2018,1716,2031,2522,3468,3942,1781642.0,2.4426,0.101863,1890.796908,2237.883753,2778.898486,3821.260884,4343.543946
13,2019,1952,2316,2839,3829,4394,1781642.0,1.8122,0.07743699999999999,2103.157024,2495.344092,3058.843643,4125.506273,4734.258178
14,2020,2103,2458,2970,3943,4525,1911225.0,1.2336,0.059315,2227.739445,2603.79627,3146.16555,4176.879045,4793.400375
15,2021,2228,2558,3051,3984,4593,1911225.0,4.6979,0.046979,2332.669212,2678.172282,3194.332929,4171.164336,4808.774547
0,2022,2447,2831,3165,4066,4789,,,,,,,,
