,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,537,629,826,1200,1237,35100.0,3.2259,0.332119,715.347903,837.902851,1100.3302939999999,1598.5428,1647.831203
1,2007,556,652,855,1242,1280,35100.0,2.8527,0.29986,722.72216,847.50872,1111.3803,1614.42612,1663.8208
2,2008,642,752,987,1434,1478,35100.0,3.8391,0.271333,816.195786,956.042416,1254.805671,1823.091522,1879.030174
3,2009,671,787,1033,1501,1546,35100.0,-0.3555,0.232942,827.304082,970.3253540000001,1273.629086,1850.645942,1906.128332
4,2010,692,812,1065,1547,1594,35100.0,1.64,0.23649699999999999,855.655924,1004.035564,1316.869305,1912.860859,1970.976218
5,2011,710,833,1093,1588,1636,35100.0,3.1568,0.22009700000000001,866.26887,1016.340801,1333.566021,1937.514036,1996.078692
6,2012,707,829,1088,1581,1629,35100.0,2.0693,0.18852900000000003,840.2900030000001,985.2905410000001,1293.119552,1879.064349,1936.1137410000001
7,2013,644,800,1082,1436,1747,38091.0,1.4648,0.16783600000000004,752.0863840000001,934.2688,1263.598552,1677.012496,2040.209492
8,2014,623,775,1048,1391,1692,38091.0,1.6222,0.15318800000000005,718.4361240000001,893.7207000000001,1208.541024,1604.0845080000001,1951.1940960000002
9,2015,587,729,986,1308,1592,38091.0,0.1186,0.136966,667.399042,828.848214,1121.048476,1487.151528,1810.049872
10,2016,649,787,1053,1504,1729,38091.0,1.2616,0.13577999999999998,737.12122,893.85886,1195.97634,1708.21312,1963.76362
11,2017,701,761,1012,1468,1630,38091.0,2.1301,0.123164,787.337964,854.727804,1136.641968,1648.804752,1830.75732
12,2018,725,793,1055,1522,1687,38091.0,2.4426,0.101863,798.850675,873.7773589999999,1162.465465,1677.035486,1858.842881
13,2019,814,819,1084,1567,1789,38091.0,1.8122,0.07743699999999999,877.033718,882.420903,1167.941708,1688.343779,1927.534793
14,2020,851,856,1128,1627,1908,37305.0,1.2336,0.059315,901.477065,906.77364,1194.90732,1723.505505,2021.17302
15,2021,880,886,1149,1644,1980,37305.0,4.6979,0.046979,921.34152,927.623394,1202.978871,1721.2334759999999,2073.01842
0,2022,910,914,1151,368,1977,,,,,,,,
