,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,441,463,608,834,925,13022.0,3.2259,0.332119,587.464479,616.771097,809.928352,1110.987246,1232.210075
1,2007,457,479,629,863,957,13022.0,2.8527,0.29986,594.03602,622.63294,817.61194,1121.77918,1243.96602
2,2008,526,552,725,995,1103,13022.0,3.8391,0.271333,668.7211580000001,701.775816,921.716425,1264.976335,1402.280299
3,2009,550,578,758,1040,1154,13022.0,-0.3555,0.232942,678.1181,712.640476,934.5700360000001,1282.2596800000001,1422.8150679999999
4,2010,568,596,782,1073,1190,13022.0,1.64,0.23649699999999999,702.330296,736.952212,966.940654,1326.761281,1471.43143
5,2011,583,612,803,1102,1222,13022.0,3.1568,0.22009700000000001,711.316551,746.6993640000001,979.737891,1344.546894,1490.958534
6,2012,512,537,705,967,1073,13022.0,2.0693,0.18852900000000003,608.526848,638.240073,837.912945,1149.3075430000001,1275.291617
7,2013,581,585,782,1152,1385,13786.0,1.4648,0.16783600000000004,678.5127160000001,683.18406,913.247752,1345.347072,1617.45286
8,2014,701,706,943,1390,1670,13786.0,1.6222,0.15318800000000005,808.3847880000001,814.1507280000001,1087.456284,1602.9313200000001,1925.8239600000002
9,2015,551,554,741,1092,1312,13786.0,0.1186,0.136966,626.468266,629.879164,842.491806,1241.566872,1491.699392
10,2016,629,633,847,1148,1479,13786.0,1.2616,0.13577999999999998,714.40562,718.94874,962.00566,1303.87544,1679.81862
11,2017,608,612,813,1177,1433,13786.0,2.1301,0.123164,682.8837120000001,687.376368,913.132332,1321.9640279999999,1609.494012
12,2018,582,637,847,1217,1492,13786.0,2.4426,0.101863,641.284266,701.886731,933.277961,1340.967271,1643.979596
13,2019,575,639,845,1222,1358,13786.0,1.8122,0.07743699999999999,619.5262749999999,688.482243,910.434265,1316.628014,1463.159446
14,2020,576,684,852,1229,1359,13035.0,1.2336,0.059315,610.16544,724.57146,902.53638,1301.898135,1439.609085
15,2021,587,680,868,1242,1377,13035.0,4.6979,0.046979,614.576673,711.94572,908.777772,1300.347918,1441.690083
0,2022,591,699,873,1282,1414,,,,,,,,
