,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,540,595,702,1021,1100,799407.0,3.2259,0.332119,719.34426,792.610805,935.1475379999999,1360.093499,1465.3309
1,2007,558,615,726,1056,1138,799407.0,2.8527,0.29986,725.32188,799.4139,943.69836,1372.65216,1479.2406799999999
2,2008,619,682,805,1171,1261,799407.0,3.8391,0.271333,786.955127,867.0491059999999,1023.423065,1488.730943,1603.150913
3,2009,647,713,842,1225,1319,799407.0,-0.3555,0.232942,797.713474,879.087646,1038.137164,1510.35395,1626.2504979999999
4,2010,646,711,840,1222,1316,799407.0,1.64,0.23649699999999999,798.777062,879.149367,1038.65748,1510.999334,1627.230052
5,2011,657,724,855,1244,1340,799407.0,3.1568,0.22009700000000001,801.603729,883.350228,1043.182935,1517.800668,1634.92998
6,2012,638,702,829,1206,1299,799407.0,2.0693,0.18852900000000003,758.281502,834.347358,985.2905410000001,1433.365974,1543.899171
7,2013,668,695,878,1234,1440,930450.0,1.4648,0.16783600000000004,780.114448,811.64602,1025.360008,1441.1096240000002,1681.6838400000001
8,2014,630,655,827,1162,1356,930450.0,1.6222,0.15318800000000005,726.5084400000001,755.3381400000001,953.6864760000001,1340.0044560000001,1563.7229280000001
9,2015,649,676,853,1199,1399,930450.0,0.1186,0.136966,737.890934,768.589016,969.831998,1363.222234,1590.615434
10,2016,662,690,862,1216,1430,930450.0,1.2616,0.13577999999999998,751.88636,783.6882,979.04236,1381.1084799999999,1624.1653999999999
11,2017,670,709,887,1258,1470,930450.0,2.1301,0.123164,752.5198800000001,796.323276,996.246468,1412.940312,1651.05108
12,2018,697,771,958,1368,1599,930450.0,2.4426,0.101863,767.998511,849.536373,1055.584754,1507.348584,1761.878937
13,2019,668,769,956,1364,1584,930450.0,1.8122,0.07743699999999999,719.727916,828.549053,1030.029772,1469.624068,1706.660208
14,2020,691,787,980,1395,1621,971615.0,1.2336,0.059315,731.986665,833.680905,1038.1287,1477.744425,1717.149615
15,2021,795,851,1064,1509,1747,971615.0,4.6979,0.046979,832.348305,890.9791290000001,1113.985656,1579.891311,1829.072313
0,2022,747,849,1055,1488,1728,,,,,,,,
