,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,760,870,1065,1514,1871,2813833.0,3.2259,0.332119,1012.41044,1158.94353,1418.706735,2016.828166,2492.394649
1,2007,870,993,1205,1757,2118,2813833.0,2.8527,0.29986,1130.8782,1290.76098,1566.3313,2283.8540199999998,2753.1034799999998
2,2008,978,1117,1355,1976,2382,2813833.0,3.8391,0.271333,1243.363674,1420.078961,1722.656215,2512.154008,3028.315206
3,2009,1024,1168,1418,2067,2493,2813833.0,-0.3555,0.232942,1262.532608,1440.076256,1748.311756,2548.491114,3073.7244060000003
4,2010,945,1082,1324,1883,2326,2813833.0,1.64,0.23649699999999999,1168.489665,1337.889754,1637.122028,2328.323851,2876.092022
5,2011,1004,1149,1406,1999,2470,2813833.0,3.1568,0.22009700000000001,1224.977388,1401.891453,1715.456382,2438.973903,3013.6395899999998
6,2012,984,1126,1378,1960,2421,2813833.0,2.0693,0.18852900000000003,1169.512536,1338.283654,1637.792962,2329.5168400000002,2877.4287090000003
7,2013,959,1054,1382,2009,2448,3095313.0,1.4648,0.16783600000000004,1119.954724,1230.899144,1613.949352,2346.182524,2858.862528
8,2014,939,1032,1354,1969,2398,3095313.0,1.6222,0.15318800000000005,1082.843532,1190.090016,1561.4165520000001,2270.627172,2765.3448240000002
9,2015,964,1060,1390,2021,2462,3095313.0,0.1186,0.136966,1096.035224,1205.18396,1580.38274,2297.808286,2799.210292
10,2016,1040,1153,1499,2167,2329,3095313.0,1.2616,0.13577999999999998,1181.2112,1309.55434,1702.53422,2461.23526,2645.23162
11,2017,1212,1342,1741,2507,3068,3095313.0,2.1301,0.123164,1361.274768,1507.286088,1955.428524,2815.772148,3445.867152
12,2018,1257,1400,1816,2612,3198,3095313.0,2.4426,0.101863,1385.041791,1542.6082,2000.983208,2878.066156,3523.757874
13,2019,1422,1590,2068,2962,3632,3095313.0,1.8122,0.07743699999999999,1532.1154139999999,1713.12483,2228.139716,3191.368394,3913.2511839999997
14,2020,1404,1566,2037,2894,3576,3283665.0,1.2336,0.059315,1487.27826,1658.88729,2157.824655,3065.65761,3788.11044
15,2021,1478,1642,2124,2987,3677,3283665.0,4.6979,0.046979,1547.434962,1719.139518,2223.783396,3127.326273,3849.741783
0,2022,1536,1631,2283,3123,3916,,,,,,,,
