,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,485,524,624,902,1081,661645.0,3.2259,0.332119,646.077715,698.030356,831.242256,1201.571338,1440.020639
1,2007,503,542,646,933,1119,661645.0,2.8527,0.29986,653.8295800000001,704.52412,839.70956,1212.76938,1454.54334
2,2008,528,570,679,981,1176,661645.0,3.8391,0.271333,671.263824,724.65981,863.235107,1247.177673,1495.087608
3,2009,573,618,736,1064,1275,661645.0,-0.3555,0.232942,706.475766,761.958156,907.4453120000001,1311.850288,1572.00105
4,2010,622,670,799,1155,1384,661645.0,1.64,0.23649699999999999,769.101134,828.45299,987.961103,1428.154035,1711.311848
5,2011,614,662,789,1140,1367,661645.0,3.1568,0.22009700000000001,749.1395580000001,807.704214,962.6565330000001,1390.91058,1667.872599
6,2012,617,665,793,1146,1373,661645.0,2.0693,0.18852900000000003,733.322393,790.371785,942.503497,1362.054234,1631.850317
7,2013,610,614,804,1179,1424,839631.0,1.4648,0.16783600000000004,712.37996,717.0513040000001,938.940144,1376.8786440000001,1662.998464
8,2014,619,623,815,1195,1443,839631.0,1.6222,0.15318800000000005,713.8233720000001,718.4361240000001,939.8482200000001,1378.0596600000001,1664.0502840000001
9,2015,631,636,832,1220,1474,839631.0,0.1186,0.136966,717.4255459999999,723.110376,945.955712,1387.09852,1675.887884
10,2016,601,639,826,1194,1442,839631.0,1.2616,0.13577999999999998,682.60378,725.76342,938.15428,1356.12132,1637.79476
11,2017,623,650,844,1222,1470,839631.0,2.1301,0.123164,699.731172,730.0566,947.950416,1372.506408,1651.05108
12,2018,672,695,904,1303,1550,839631.0,2.4426,0.101863,740.451936,765.794785,996.084152,1435.7274889999999,1707.88765
13,2019,700,711,926,1334,1587,839631.0,1.8122,0.07743699999999999,754.2059,766.0577069999999,997.706662,1437.300958,1709.892519
14,2020,711,726,946,1365,1624,878745.0,1.2336,0.059315,753.172965,769.06269,1002.11199,1445.964975,1720.32756
15,2021,734,743,970,1388,1679,878745.0,4.6979,0.046979,768.482586,777.905397,1015.56963,1453.206852,1757.877741
0,2022,749,759,999,1436,1732,,,,,,,,
