,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,389,466,596,848,874,44301.0,3.2259,0.332119,518.194291,620.767454,793.942924,1129.636912,1164.272006
1,2007,402,482,617,878,905,44301.0,2.8527,0.29986,522.54372,626.53252,802.01362,1141.27708,1176.3733
2,2008,465,558,713,1015,1045,44301.0,3.8391,0.271333,591.169845,709.403814,906.460429,1290.402995,1328.542985
3,2009,486,583,746,1062,1094,44301.0,-0.3555,0.232942,599.209812,718.805186,919.774732,1309.384404,1348.838548
4,2010,501,601,769,1094,1127,44301.0,1.64,0.23649699999999999,619.484997,743.134697,950.866193,1352.727718,1393.532119
5,2011,514,617,789,1123,1157,44301.0,3.1568,0.22009700000000001,627.129858,752.799849,962.6565330000001,1370.168931,1411.652229
6,2012,469,563,720,1025,1056,44301.0,2.0693,0.18852900000000003,557.420101,669.141827,855.7408800000001,1218.242225,1255.086624
7,2013,528,629,803,1171,1318,44900.0,1.4648,0.16783600000000004,616.6174080000001,734.568844,937.7723080000001,1367.5359560000002,1539.207848
8,2014,519,618,789,1150,1295,44900.0,1.6222,0.15318800000000005,598.504572,712.6701840000001,909.8653320000001,1326.1662000000001,1493.3784600000001
9,2015,522,622,794,1158,1303,44900.0,0.1186,0.136966,593.496252,707.192852,902.751004,1316.606628,1481.466698
10,2016,524,666,849,1236,1399,44900.0,1.2616,0.13577999999999998,595.14872,756.42948,964.2772199999999,1403.8240799999999,1588.95622
11,2017,516,612,814,1136,1328,44900.0,2.1301,0.123164,579.552624,687.376368,914.255496,1275.914304,1491.561792
12,2018,524,617,821,1137,1353,44900.0,2.4426,0.101863,577.376212,679.849471,904.629523,1252.818231,1490.820639
13,2019,540,635,840,1156,1349,44900.0,1.8122,0.07743699999999999,581.81598,684.172495,905.04708,1245.517172,1453.462513
14,2020,591,650,856,1218,1344,43530.0,1.2336,0.059315,626.055165,688.55475,906.77364,1290.24567,1423.71936
15,2021,661,694,914,1308,1381,43530.0,4.6979,0.046979,692.053119,726.603426,956.938806,1369.448532,1445.877999
0,2022,618,678,903,1267,1422,,,,,,,,
