,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,796,857,983,1378,1698,394542.0,3.2259,0.332119,1060.366724,1141.625983,1309.472977,1835.6599820000001,2261.938062
1,2007,808,869,997,1398,1722,394542.0,2.8527,0.29986,1050.28688,1129.57834,1295.9604199999999,1817.20428,2238.35892
2,2008,883,950,1090,1528,1882,394542.0,3.8391,0.271333,1122.587039,1207.7663499999999,1385.75297,1942.596824,2392.648706
3,2009,940,1012,1161,1628,2005,394542.0,-0.3555,0.232942,1158.96548,1247.737304,1431.445662,2007.229576,2472.04871
4,2010,980,1055,1210,1696,2090,394542.0,1.64,0.23649699999999999,1211.76706,1304.504335,1496.16137,2097.098912,2584.27873
5,2011,1023,1101,1263,1771,2181,394542.0,3.1568,0.22009700000000001,1248.159231,1343.326797,1540.9825110000002,2160.791787,2661.0315570000002
6,2012,995,1072,1229,1723,2122,394542.0,2.0693,0.18852900000000003,1182.586355,1274.103088,1460.702141,2047.835467,2522.058538
7,2013,739,931,1166,1718,2043,413344.0,1.4648,0.16783600000000004,863.030804,1087.255316,1361.696776,2006.3422480000002,2385.8889480000003
8,2014,738,928,1163,1714,2037,413344.0,1.6222,0.15318800000000005,851.0527440000001,1070.158464,1341.1576440000001,1976.5642320000002,2349.043956
9,2015,765,964,1207,1779,2115,413344.0,0.1186,0.136966,869.77899,1096.035224,1372.317962,2022.662514,2404.68309
10,2016,830,1024,1284,1871,2242,413344.0,1.2616,0.13577999999999998,942.6974,1163.03872,1458.34152,2125.04438,2546.41876
11,2017,830,1035,1294,1884,2280,413344.0,2.1301,0.123164,932.22612,1162.47474,1453.374216,2116.0409760000002,2560.81392
12,2018,874,1087,1341,1951,2361,413344.0,2.4426,0.101863,963.028262,1197.725081,1477.598283,2149.734713,2601.498543
13,2019,983,1184,1443,2086,2531,413344.0,1.8122,0.07743699999999999,1059.120571,1275.685408,1554.741591,2247.533582,2726.993047
14,2020,1124,1318,1589,2292,2790,434980.0,1.2336,0.059315,1190.67006,1396.17717,1683.251535,2427.94998,2955.48885
15,2021,1190,1351,1617,2314,2800,434980.0,4.6979,0.046979,1245.90501,1414.468629,1692.965043,2422.709406,2931.5412
0,2022,1317,1417,1659,2381,2896,,,,,,,,
