,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,458,523,635,906,1057,210554.0,3.2259,0.332119,610.110502,696.6982370000001,845.895565,1206.8998139999999,1408.049783
1,2007,474,541,657,937,1094,210554.0,2.8527,0.29986,616.13364,703.22426,854.00802,1217.96882,1422.04684
2,2008,534,609,740,1055,1232,210554.0,3.8391,0.271333,678.891822,774.241797,940.78642,1341.256315,1566.282256
3,2009,559,637,774,1104,1289,210554.0,-0.3555,0.232942,689.2145780000001,785.384054,954.297108,1361.167968,1589.262238
4,2010,577,658,799,1139,1330,210554.0,1.64,0.23649699999999999,713.458769,813.615026,987.961103,1408.370083,1644.54101
5,2011,591,674,819,1168,1364,210554.0,3.1568,0.22009700000000001,721.077327,822.345378,999.259443,1425.073296,1664.2123080000001
6,2012,570,649,789,1125,1314,210554.0,2.0693,0.18852900000000003,677.46153,771.355321,937.7493810000001,1337.095125,1561.727106
7,2013,507,587,772,1138,1367,255793.0,1.4648,0.16783600000000004,592.092852,685.519732,901.569392,1328.997368,1596.431812
8,2014,522,604,795,1171,1408,255793.0,1.6222,0.15318800000000005,601.964136,696.5255520000001,916.7844600000001,1350.3831480000001,1623.6887040000001
9,2015,498,577,759,1118,1344,255793.0,0.1186,0.136966,566.209068,656.0293819999999,862.957194,1271.127988,1528.082304
10,2016,517,601,784,1135,1369,255793.0,1.2616,0.13577999999999998,587.19826,682.60378,890.45152,1289.1103,1554.88282
11,2017,522,602,776,1125,1355,255793.0,2.1301,0.123164,586.291608,676.144728,871.575264,1263.5595,1521.88722
12,2018,542,623,790,1149,1368,255793.0,2.4426,0.101863,597.209746,686.460649,870.47177,1266.040587,1507.348584
13,2019,579,680,839,1213,1465,255793.0,1.8122,0.07743699999999999,623.836023,732.65716,903.969643,1306.931081,1578.445205
14,2020,651,782,947,1366,1652,267390.0,1.2336,0.059315,689.614065,828.38433,1003.171305,1447.02429,1749.98838
15,2021,724,882,1067,1527,1847,267390.0,4.6979,0.046979,758.012796,923.435478,1117.126593,1598.736933,1933.770213
0,2022,245,876,1069,1534,1982,,,,,,,,
