,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,641,758,923,1345,1384,246681.0,3.2259,0.332119,853.888279,1009.746202,1229.5458370000001,1791.700055,1843.652696
1,2007,663,784,955,1391,1432,246681.0,2.8527,0.29986,861.80718,1019.09024,1241.3663000000001,1808.10526,1861.39952
2,2008,746,883,1075,1566,1611,246681.0,3.8391,0.271333,948.414418,1122.587039,1366.682975,1990.907478,2048.117463
3,2009,781,924,1125,1639,1686,246681.0,-0.3555,0.232942,962.927702,1139.238408,1387.05975,2020.791938,2078.740212
4,2010,805,952,1160,1690,1739,246681.0,1.64,0.23649699999999999,995.380085,1177.145144,1434.33652,2089.67993,2150.268283
5,2011,826,977,1190,1734,1784,246681.0,3.1568,0.22009700000000001,1007.800122,1192.034769,1451.91543,2115.648198,2176.653048
6,2012,806,954,1162,1693,1742,246681.0,2.0693,0.18852900000000003,957.954374,1133.8566660000001,1381.070698,2012.179597,2070.417518
7,2013,761,880,1136,1674,1746,269637.0,1.4648,0.16783600000000004,888.723196,1027.69568,1326.6616960000001,1954.957464,2039.041656
8,2014,814,941,1215,1790,1867,269637.0,1.6222,0.15318800000000005,938.6950320000001,1085.149908,1401.1234200000001,2064.20652,2153.001996
9,2015,877,1014,1309,1929,2011,269637.0,0.1186,0.136966,997.119182,1152.883524,1488.288494,2193.207414,2286.438626
10,2016,864,1009,1310,1909,2249,269637.0,1.2616,0.13577999999999998,981.3139199999999,1146.00202,1487.8718,2168.20402,2554.36922
11,2017,887,1011,1309,1906,2289,269637.0,2.1301,0.123164,996.246468,1135.518804,1470.2216760000001,2140.750584,2570.922396
12,2018,971,1107,1427,2076,2513,269637.0,2.4426,0.101863,1069.908973,1219.762341,1572.358501,2287.467588,2768.981719
13,2019,1059,1196,1542,2230,2708,269637.0,1.8122,0.07743699999999999,1141.005783,1288.614652,1661.407854,2402.68451,2917.699396
14,2020,1153,1275,1657,2390,2909,280120.0,1.2336,0.059315,1221.390195,1350.626625,1755.284955,2531.76285,3081.547335
15,2021,1166,1263,1665,2383,2877,280120.0,4.6979,0.046979,1220.7775139999999,1322.334477,1743.220035,2494.950957,3012.158583
0,2022,1210,1299,1750,2502,3178,,,,,,,,
