,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,449,527,686,994,1107,58309.0,3.2259,0.332119,598.121431,702.026713,913.833634,1324.126286,1474.655733
1,2007,465,545,710,1029,1145,58309.0,2.8527,0.29986,604.4349,708.4237,922.9005999999999,1337.55594,1488.3397
2,2008,538,631,821,1190,1324,58309.0,3.8391,0.271333,683.9771539999999,802.211123,1043.764393,1512.88627,1683.244892
3,2009,562,659,858,1243,1384,58309.0,-0.3555,0.232942,692.913404,812.508778,1057.864236,1532.546906,1706.391728
4,2010,580,680,885,1282,1428,58309.0,1.64,0.23649699999999999,717.16826,840.81796,1094.299845,1585.189154,1765.717716
5,2011,595,697,908,1316,1465,58309.0,3.1568,0.22009700000000001,725.957715,850.407609,1107.848076,1605.647652,1787.442105
6,2012,586,687,895,1297,1444,58309.0,2.0693,0.18852900000000003,696.4779940000001,816.519423,1063.733455,1541.522113,1716.235876
7,2013,645,650,879,1295,1309,64665.0,1.4648,0.16783600000000004,753.25422,759.0934,1026.527844,1512.34762,1528.697324
8,2014,644,648,877,1292,1306,64665.0,1.6222,0.15318800000000005,742.6530720000001,747.2658240000001,1011.3458760000001,1489.9188960000001,1506.0635280000001
9,2015,626,630,853,1257,1270,64665.0,0.1186,0.136966,711.740716,716.28858,969.831998,1429.166262,1443.9468200000001
10,2016,684,726,972,1402,1444,64665.0,1.2616,0.13577999999999998,776.87352,824.57628,1103.97816,1592.36356,1640.06632
11,2017,608,702,915,1332,1388,64665.0,2.1301,0.123164,682.8837120000001,788.461128,1027.69506,1496.054448,1558.951632
12,2018,583,705,914,1330,1474,64665.0,2.4426,0.101863,642.386129,776.813415,1007.1027819999999,1465.47779,1624.146062
13,2019,617,735,960,1388,1517,64665.0,1.8122,0.07743699999999999,664.778629,791.916195,1034.33952,1495.482556,1634.471929
14,2020,662,773,1016,1466,1567,64095.0,1.2336,0.059315,701.26653,818.850495,1076.26404,1552.95579,1659.946605
15,2021,707,813,1072,1534,1603,64095.0,4.6979,0.046979,740.214153,851.193927,1122.361488,1606.0657860000001,1678.307337
0,2022,691,836,1049,1513,1639,,,,,,,,
