,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,586,705,901,1234,1583,12853.0,3.2259,0.332119,780.6217340000001,939.1438949999999,1200.239219,1643.834846,2108.744377
1,2007,606,730,932,1277,1638,12853.0,2.8527,0.29986,787.71516,948.8978,1211.46952,1659.92122,2129.17068
2,2008,700,843,1077,1475,1892,12853.0,3.8391,0.271333,889.9331,1071.733719,1369.225641,1875.216175,2405.362036
3,2009,733,882,1127,1544,1980,12853.0,-0.3555,0.232942,903.746486,1087.454844,1389.525634,1903.662448,2441.22516
4,2010,756,911,1163,1593,2043,12853.0,1.64,0.23649699999999999,934.791732,1126.4487669999999,1438.046011,1969.739721,2526.163371
5,2011,775,934,1193,1634,2096,12853.0,3.1568,0.22009700000000001,945.575175,1139.570598,1455.5757210000002,1993.638498,2557.323312
6,2012,796,959,1225,1678,2152,12853.0,2.0693,0.18852900000000003,946.069084,1139.799311,1455.9480250000001,1994.351662,2557.714408
7,2013,888,1015,1203,1498,1942,14202.0,1.4648,0.16783600000000004,1037.038368,1185.35354,1404.906708,1749.418328,2267.937512
8,2014,924,1056,1252,1559,2021,14202.0,1.6222,0.15318800000000005,1065.545712,1217.766528,1443.7913760000001,1797.8200920000002,2330.592948
9,2015,842,962,1141,1421,1842,14202.0,0.1186,0.136966,957.325372,1093.761292,1297.278206,1615.628686,2094.291372
10,2016,872,1090,1262,1566,2048,14202.0,1.2616,0.13577999999999998,990.40016,1238.0002,1433.35436,1778.63148,2326.07744
11,2017,783,895,1190,1489,1933,14202.0,2.1301,0.123164,879.437412,1005.23178,1336.56516,1672.391196,2171.076012
12,2018,790,924,1229,1545,1988,14202.0,2.4426,0.101863,870.47177,1018.121412,1354.189627,1702.3783349999999,2190.503644
13,2019,803,945,1250,1606,2009,14202.0,1.8122,0.07743699999999999,865.181911,1018.177965,1346.7962499999999,1730.363822,2164.570933
14,2020,872,979,1290,1699,2058,14060.0,1.2336,0.059315,923.72268,1037.069385,1366.51635,1799.776185,2180.07027
15,2021,875,1006,1326,1785,2104,14060.0,4.6979,0.046979,916.106625,1053.260874,1388.294154,1868.857515,2202.843816
0,2022,921,1020,1349,1887,2099,,,,,,,,
