,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,563,657,866,1251,1522,92033.0,3.2259,0.332119,749.9829970000001,875.202183,1153.6150539999999,1666.480869,2027.485118
1,2007,582,680,896,1294,1574,92033.0,2.8527,0.29986,756.51852,883.9048,1164.67456,1682.01884,2045.97964
2,2008,673,786,1035,1495,1818,92033.0,3.8391,0.271333,855.607109,999.267738,1315.829655,1900.642835,2311.283394
3,2009,704,822,1083,1564,1903,92033.0,-0.3555,0.232942,867.991168,1013.478324,1335.276186,1928.321288,2346.288626
4,2010,726,848,1117,1613,1963,92033.0,1.64,0.23649699999999999,897.696822,1048.549456,1381.1671489999999,1994.469661,2427.243611
5,2011,745,870,1146,1655,2014,92033.0,3.1568,0.22009700000000001,908.972265,1061.48439,1398.231162,2019.260535,2457.275358
6,2012,709,828,1091,1575,1917,92033.0,2.0693,0.18852900000000003,842.667061,984.1020120000001,1296.685139,1871.9331750000001,2278.410093
7,2013,775,780,1034,1524,1762,98764.0,1.4648,0.16783600000000004,905.0729,910.9120800000001,1207.542424,1779.782064,2057.7270320000002
8,2014,785,790,1047,1543,1784,98764.0,1.6222,0.15318800000000005,905.2525800000001,911.0185200000001,1207.387836,1779.3690840000002,2057.287392
9,2015,1016,1023,1355,1997,2309,98764.0,0.1186,0.136966,1155.157456,1163.1162180000001,1540.58893,2270.521102,2625.254494
10,2016,792,908,1216,1772,2123,98764.0,1.2616,0.13577999999999998,899.5377599999999,1031.28824,1381.1084799999999,2012.60216,2411.26094
11,2017,830,985,1309,1906,2306,98764.0,2.1301,0.123164,932.22612,1106.31654,1470.2216760000001,2140.750584,2590.016184
12,2018,757,892,1186,1725,2075,98764.0,2.4426,0.101863,834.110291,982.861796,1306.809518,1900.713675,2286.365725
13,2019,778,916,1211,1751,1978,98764.0,1.8122,0.07743699999999999,838.245986,986.932292,1304.7762069999999,1886.592187,2131.170386
14,2020,856,998,1314,1896,2052,98840.0,1.2336,0.059315,906.77364,1057.1963700000001,1391.93991,2008.46124,2173.71438
15,2021,884,1013,1335,1911,2052,98840.0,4.6979,0.046979,925.529436,1060.589727,1397.716965,2000.776869,2148.400908
0,2022,856,1035,1367,1911,1198,,,,,,,,
