,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,998,1227,1536,2051,2167,247289.0,3.2259,0.332119,1329.454762,1634.510013,2046.1347839999999,2732.176069,2886.701873
1,2007,1008,1239,1551,2071,2188,247289.0,2.8527,0.29986,1310.25888,1610.52654,2016.08286,2692.01006,2844.09368
2,2008,1035,1272,1592,2125,2246,247289.0,3.8391,0.271333,1315.829655,1617.1355760000001,2023.962136,2701.582625,2855.413918
3,2009,1078,1325,1658,2213,2339,247289.0,-0.3555,0.232942,1329.111476,1633.64815,2044.217836,2728.500646,2883.851338
4,2010,1144,1406,1760,2350,2483,247289.0,1.64,0.23649699999999999,1414.552568,1738.514782,2176.23472,2905.76795,3070.2220509999997
5,2011,1191,1465,1833,2447,2586,247289.0,3.1568,0.22009700000000001,1453.135527,1787.442105,2236.437801,2985.577359,3155.170842
6,2012,1238,1522,1905,2543,2688,247289.0,2.0693,0.18852900000000003,1471.3989020000001,1808.9411380000001,2264.147745,3022.429247,3194.765952
7,2013,1093,1423,1795,2438,2948,252409.0,1.4648,0.16783600000000004,1276.4447480000001,1661.8306280000002,2096.26562,2847.184168,3442.7805280000002
8,2014,1191,1551,1956,2657,3212,252409.0,1.6222,0.15318800000000005,1373.4469080000001,1788.5945880000002,2255.635728,3064.020516,3704.0398560000003
9,2015,1256,1635,2062,2801,3386,252409.0,0.1186,0.136966,1428.029296,1858.93941,2344.423892,3184.641766,3849.766876
10,2016,1412,1814,2289,2987,3556,252409.0,1.2616,0.13577999999999998,1603.72136,2060.30492,2599.80042,3392.5748599999997,4038.8336799999997
11,2017,1915,2411,3018,3927,4829,252409.0,2.1301,0.123164,2150.8590599999998,2707.9484039999998,3389.708952,4410.665028,5423.758956
12,2018,2014,2499,3121,4070,4346,252409.0,2.4426,0.101863,2219.152082,2753.555637,3438.914423,4484.58241,4788.696598
13,2019,2069,2561,3170,4153,4392,252409.0,1.8122,0.07743699999999999,2229.217153,2759.316157,3415.47529,4474.595861,4732.103304
14,2020,2197,2720,3339,4365,4657,260815.0,1.2336,0.059315,2327.315055,2881.3368,3537.052785,4623.909975,4933.229955
15,2021,2350,2923,3553,4567,4970,260815.0,4.6979,0.046979,2460.40065,3060.319617,3719.916387,4781.553093,5203.48563
0,2022,2627,3205,3845,4979,5277,,,,,,,,
