,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,445,521,687,1002,1206,20824.0,3.2259,0.332119,592.792955,694.033999,915.165753,1334.783238,1606.535514
1,2007,461,540,711,1037,1249,20824.0,2.8527,0.29986,599.23546,701.9244,924.20046,1347.95482,1623.52514
2,2008,533,624,822,1199,1443,20824.0,3.8391,0.271333,677.620489,793.311792,1045.035726,1524.3282669999999,1834.533519
3,2009,557,653,860,1255,1510,20824.0,-0.3555,0.232942,686.748694,805.111126,1060.33012,1547.34221,1861.74242
4,2010,575,673,887,1294,1558,20824.0,1.64,0.23649699999999999,710.985775,832.162481,1096.772839,1600.027118,1926.4623259999998
5,2011,590,691,910,1328,1598,20824.0,3.1568,0.22009700000000001,719.8572300000001,843.087027,1110.28827,1620.288816,1949.715006
6,2012,613,718,946,1380,1661,20824.0,2.0693,0.18852900000000003,728.5682770000001,853.363822,1124.348434,1640.17002,1974.146669
7,2013,565,702,950,1183,1562,20007.0,1.4648,0.16783600000000004,659.82734,819.820872,1109.4442000000001,1381.549988,1824.159832
8,2014,555,690,933,1162,1534,20007.0,1.6222,0.15318800000000005,640.01934,795.6997200000001,1075.924404,1340.0044560000001,1768.9903920000002
9,2015,512,636,861,1072,1416,20007.0,0.1186,0.136966,582.126592,723.110376,978.927726,1218.827552,1609.943856
10,2016,607,711,870,1109,1351,20007.0,1.2616,0.13577999999999998,689.41846,807.53958,988.1286,1259.5800199999999,1534.43878
11,2017,575,720,831,1099,1278,20007.0,2.1301,0.123164,645.8193,808.67808,933.349284,1234.357236,1435.4035920000001
12,2018,592,751,862,1169,1330,20007.0,2.4426,0.101863,652.302896,827.499113,949.805906,1288.077847,1465.47779
13,2019,612,744,899,1181,1327,20007.0,1.8122,0.07743699999999999,659.391444,801.613128,968.615863,1272.453097,1429.758899
14,2020,619,722,916,1250,1453,18725.0,1.2336,0.059315,655.715985,764.82543,970.33254,1324.14375,1539.184695
15,2021,618,722,937,1318,1569,18725.0,4.6979,0.046979,647.033022,755.918838,981.019323,1379.918322,1642.710051
0,2022,637,750,956,1313,1551,,,,,,,,
