,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,464,540,657,959,1155,163256.0,3.2259,0.332119,618.103216,719.34426,875.202183,1277.502121,1538.5974449999999
1,2007,480,559,680,992,1195,163256.0,2.8527,0.29986,623.9328,726.62174,883.9048,1289.46112,1553.3327
2,2008,541,630,766,1118,1347,163256.0,3.8391,0.271333,687.791153,800.93979,973.8410779999999,1421.3502939999998,1712.485551
3,2009,566,659,802,1170,1410,163256.0,-0.3555,0.232942,697.845172,812.508778,988.819484,1442.54214,1738.44822
4,2010,584,680,827,1207,1454,163256.0,1.64,0.23649699999999999,722.114248,840.81796,1022.5830189999999,1492.451879,1797.866638
5,2011,599,698,849,1239,1493,163256.0,3.1568,0.22009700000000001,730.838103,851.627706,1035.862353,1511.700183,1821.604821
6,2012,595,693,843,1230,1482,163256.0,2.0693,0.18852900000000003,707.174755,823.6505970000001,1001.9299470000001,1461.89067,1761.399978
7,2013,734,755,949,1398,1559,177223.0,1.4648,0.16783600000000004,857.191624,881.71618,1108.276364,1632.634728,1820.656324
8,2014,727,748,940,1385,1544,177223.0,1.6222,0.15318800000000005,838.3676760000001,862.5846240000001,1083.99672,1597.1653800000001,1780.5222720000002
9,2015,702,722,907,1337,1490,177223.0,0.1186,0.136966,798.150132,820.889452,1031.2281619999999,1520.123542,1694.07934
10,2016,660,663,871,1269,1484,177223.0,1.2616,0.13577999999999998,749.6148,753.02214,989.26438,1441.30482,1685.49752
11,2017,657,688,892,1298,1572,177223.0,2.1301,0.123164,737.918748,772.736832,1001.862288,1457.866872,1765.613808
12,2018,658,713,915,1331,1612,177223.0,2.4426,0.101863,725.025854,785.628319,1008.204645,1466.579653,1776.203156
13,2019,659,758,980,1417,1721,177223.0,1.8122,0.07743699999999999,710.030983,816.697246,1055.88826,1526.728229,1854.269077
14,2020,630,744,966,1394,1696,178920.0,1.2336,0.059315,667.36845,788.13036,1023.29829,1476.68511,1796.59824
15,2021,804,924,1218,1743,2109,178920.0,4.6979,0.046979,841.771116,967.408596,1275.220422,1824.884397,2208.078711
0,2022,726,850,1095,1571,1916,,,,,,,,
