,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,679,719,879,1281,1362,168660.0,3.2259,0.332119,904.508801,957.793561,1170.932601,1706.4444389999999,1814.346078
1,2007,703,744,910,1326,1411,168660.0,2.8527,0.29986,913.8015800000001,967.09584,1182.8726000000001,1723.61436,1834.10246
2,2008,783,829,1013,1476,1570,168660.0,3.8391,0.271333,995.453739,1053.935057,1287.860329,1876.487508,1995.99281
3,2009,816,863,1055,1537,1635,168660.0,-0.3555,0.232942,1006.080672,1064.028946,1300.75381,1895.031854,2015.86017
4,2010,813,861,1052,1533,1631,168660.0,1.64,0.23649699999999999,1005.272061,1064.623917,1300.794844,1895.5499009999999,2016.726607
5,2011,821,869,1062,1547,1646,168660.0,3.1568,0.22009700000000001,1001.699637,1060.264293,1295.7430140000001,1887.490059,2008.279662
6,2012,767,811,992,1445,1538,168660.0,2.0693,0.18852900000000003,911.601743,963.897019,1179.020768,1717.424405,1827.957602
7,2013,741,801,1082,1594,1860,200849.0,1.4648,0.16783600000000004,865.366476,935.436636,1263.598552,1861.530584,2172.1749600000003
8,2014,757,817,1104,1627,1898,200849.0,1.6222,0.15318800000000005,872.9633160000001,942.1545960000001,1273.119552,1876.2368760000002,2188.750824
9,2015,757,818,1105,1628,1899,200849.0,0.1186,0.136966,860.683262,930.038188,1256.34743,1850.980648,2159.098434
10,2016,864,870,1164,1672,2032,200849.0,1.2616,0.13577999999999998,981.3139199999999,988.1286,1322.04792,1899.02416,2307.90496
11,2017,872,884,1175,1672,2070,200849.0,2.1301,0.123164,979.399008,992.876976,1319.7177,1877.930208,2324.94948
12,2018,848,905,1203,1706,2119,200849.0,2.4426,0.101863,934.379824,997.186015,1325.541189,1879.778278,2334.847697
13,2019,953,1015,1342,1935,2357,200849.0,1.8122,0.07743699999999999,1026.797461,1093.598555,1445.920454,2084.840595,2539.519009
14,2020,1010,1066,1404,2025,2432,212605.0,1.2336,0.059315,1069.90815,1129.22979,1487.27826,2145.112875,2576.25408
15,2021,1085,1147,1511,2162,2584,212605.0,4.6979,0.046979,1135.972215,1200.884913,1581.985269,2263.568598,2705.393736
0,2022,1126,1145,1582,2187,2182,,,,,,,,
