,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,789,952,1189,1597,1921,9519338.0,3.2259,0.332119,1051.041891,1268.1772879999999,1583.889491,2127.3940430000002,2559.000599
1,2007,843,1016,1269,1704,2051,9519338.0,2.8527,0.29986,1095.78198,1320.65776,1649.52234,2214.96144,2666.01286
2,2008,863,1041,1300,1746,2101,9519338.0,3.8391,0.271333,1097.160379,1323.457653,1652.7329,2219.747418,2671.070633
3,2009,904,1090,1361,1828,2199,9519338.0,-0.3555,0.232942,1114.579568,1343.90678,1678.034062,2253.8179760000003,2711.239458
4,2010,943,1137,1420,1907,2295,9519338.0,1.64,0.23649699999999999,1166.0166709999999,1405.897089,1755.82574,2357.9997789999998,2837.760615
5,2011,973,1173,1465,1967,2367,9519338.0,3.1568,0.22009700000000001,1187.154381,1431.173781,1787.442105,2399.930799,2887.969599
6,2012,961,1159,1447,1943,2338,9519338.0,2.0693,0.18852900000000003,1142.176369,1377.505111,1719.801463,2309.311847,2778.780802
7,2013,911,1101,1421,1921,2140,9818605.0,1.4648,0.16783600000000004,1063.898596,1285.787436,1659.494956,2243.412956,2499.16904
8,2014,896,1083,1398,1890,2106,9818605.0,1.6222,0.15318800000000005,1033.256448,1248.902604,1612.1568240000001,2179.52532,2428.613928
9,2015,913,1103,1424,1926,2145,9818605.0,0.1186,0.136966,1038.049958,1254.073498,1619.039584,2189.796516,2438.79207
10,2016,947,1154,1490,2009,2227,9818605.0,1.2616,0.13577999999999998,1075.58366,1310.69012,1692.3122,2281.78202,2529.38206
11,2017,988,1195,1545,2079,2303,9818605.0,2.1301,0.123164,1109.686032,1342.18098,1735.28838,2335.057956,2586.646692
12,2018,1067,1284,1663,2231,2467,9818605.0,2.4426,0.101863,1175.687821,1414.792092,1832.398169,2458.2563529999998,2718.296021
13,2019,1158,1384,1791,2401,2641,9818605.0,1.8122,0.07743699999999999,1247.672046,1491.172808,1929.689667,2586.926237,2845.511117
14,2020,1279,1517,1956,2614,2857,10105720.0,1.2336,0.059315,1354.863885,1606.980855,2072.02014,2769.04941,3026.462955
15,2021,1369,1605,2058,2735,2982,10105720.0,4.6979,0.046979,1433.314251,1680.4012950000001,2154.682782,2863.487565,3122.091378
0,2022,1264,1629,2200,2951,2928,,,,,,,,
