,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,495,527,612,892,1075,129461.0,3.2259,0.332119,659.398905,702.026713,815.256828,1188.250148,1432.0279249999999
1,2007,512,545,633,923,1112,129461.0,2.8527,0.29986,665.52832,708.4237,822.81138,1199.77078,1445.44432
2,2008,592,630,732,1067,1286,129461.0,3.8391,0.271333,752.629136,800.93979,930.615756,1356.512311,1634.934238
3,2009,620,660,766,1117,1346,129461.0,-0.3555,0.232942,764.42404,813.74172,944.433572,1377.196214,1659.5399320000001
4,2010,639,680,790,1152,1388,129461.0,1.64,0.23649699999999999,790.121583,840.81796,976.83263,1424.444544,1716.257836
5,2011,655,697,810,1181,1423,129461.0,3.1568,0.22009700000000001,799.163535,850.407609,988.27857,1440.934557,1736.198031
6,2012,659,702,815,1188,1432,129461.0,2.0693,0.18852900000000003,783.2406110000001,834.347358,968.6511350000001,1411.972452,1701.973528
7,2013,486,575,778,1106,1163,152982.0,1.4648,0.16783600000000004,567.568296,671.5057,908.576408,1291.626616,1358.193268
8,2014,555,657,889,1264,1329,152982.0,1.6222,0.15318800000000005,640.01934,757.6445160000001,1025.184132,1457.6296320000001,1532.5868520000001
9,2015,504,596,807,1147,1206,152982.0,0.1186,0.136966,573.0308640000001,677.631736,917.531562,1304.1000020000001,1371.180996
10,2016,607,611,818,1133,1293,152982.0,1.2616,0.13577999999999998,689.41846,693.96158,929.06804,1286.83874,1468.56354
11,2017,619,623,803,1133,1296,152982.0,2.1301,0.123164,695.238516,699.731172,901.9006919999999,1272.544812,1455.6205439999999
12,2018,747,752,929,1331,1496,152982.0,2.4426,0.101863,823.091661,828.600976,1023.630727,1466.579653,1648.387048
13,2019,778,811,987,1427,1559,152982.0,1.8122,0.07743699999999999,838.245986,873.801407,1063.430319,1537.502599,1679.724283
14,2020,841,861,1064,1535,1647,150185.0,1.2336,0.059315,890.883915,912.070215,1127.11116,1626.048525,1744.691805
15,2021,894,903,1109,1587,1708,150185.0,4.6979,0.046979,935.999226,945.422037,1161.099711,1661.555673,1788.240132
0,2022,976,938,1139,1548,1774,,,,,,,,
