,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,982,1084,1379,1976,2260,753197.0,3.2259,0.332119,1308.140858,1444.016996,1836.992101,2632.267144,3010.58894
1,2007,1047,1156,1471,2108,2411,753197.0,2.8527,0.29986,1360.95342,1502.63816,1912.09406,2740.10488,3133.96246
2,2008,1012,1118,1422,2038,2331,753197.0,3.8391,0.271333,1286.588996,1421.3502939999998,1807.8355259999998,2590.976654,2963.477223
3,2009,1069,1181,1502,2152,2462,753197.0,-0.3555,0.232942,1318.014998,1456.1045020000001,1851.878884,2653.291184,3035.503204
4,2010,1053,1162,1479,2119,2424,753197.0,1.64,0.23649699999999999,1302.0313409999999,1436.809514,1828.779063,2620.137143,2997.268728
5,2011,1087,1200,1527,2188,2503,753197.0,3.1568,0.22009700000000001,1326.245439,1464.1163999999999,1863.088119,2669.572236,3053.902791
6,2012,1022,1129,1436,2058,2354,753197.0,2.0693,0.18852900000000003,1214.676638,1341.8492410000001,1706.727644,2445.992682,2797.797266
7,2013,934,1116,1499,2070,2396,823318.0,1.4648,0.16783600000000004,1090.758824,1303.3049760000001,1750.586164,2417.42052,2798.135056
8,2014,922,1102,1479,2043,2364,823318.0,1.6222,0.15318800000000005,1063.239336,1270.813176,1705.5650520000002,2355.963084,2726.1364320000002
9,2015,969,1158,1555,2148,2486,823318.0,0.1186,0.136966,1101.720054,1316.606628,1767.98213,2442.202968,2826.497476
10,2016,994,1197,1602,2264,2489,823318.0,1.2616,0.13577999999999998,1128.96532,1359.52866,1819.51956,2571.40592,2826.95642
11,2017,1118,1326,1762,2510,2999,823318.0,2.1301,0.123164,1255.697352,1489.315464,1979.014968,2819.14164,3368.368836
12,2018,1109,1308,1739,2455,2938,823318.0,2.4426,0.101863,1221.966067,1441.2368040000001,1916.139757,2705.073665,3237.273494
13,2019,1153,1362,1795,2518,3019,823318.0,1.8122,0.07743699999999999,1242.284861,1467.469194,1933.999415,2712.986366,3252.782303
14,2020,1266,1503,1943,2709,3243,847835.0,1.2336,0.059315,1341.09279,1592.150445,2058.249045,2869.684335,3435.358545
15,2021,1269,1519,1923,2690,3189,847835.0,4.6979,0.046979,1328.616351,1590.361101,2013.340617,2816.37351,3338.816031
0,2022,1267,1563,1973,2744,3299,,,,,,,,
