,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,498,559,713,1017,1047,1208.0,3.2259,0.332119,663.395262,744.6545209999999,949.800847,1354.765023,1394.728593
1,2007,516,579,738,1052,1083,1208.0,2.8527,0.29986,670.72776,752.6189400000001,959.29668,1367.45272,1407.74838
2,2008,594,666,850,1212,1248,1208.0,3.8391,0.271333,755.171802,846.707778,1080.63305,1540.8555959999999,1586.623584
3,2009,622,698,890,1269,1307,1208.0,-0.3555,0.232942,766.8899240000001,860.593516,1097.31838,1564.603398,1611.4551940000001
4,2010,642,720,918,1309,1348,1208.0,1.64,0.23649699999999999,793.831074,890.27784,1135.1042459999999,1618.5745729999999,1666.7979559999999
5,2011,658,738,941,1342,1381,1208.0,3.1568,0.22009700000000001,802.823826,900.431586,1148.111277,1637.3701740000001,1684.953957
6,2012,605,679,866,1235,1271,1208.0,2.0693,0.18852900000000003,719.0600450000001,807.011191,1029.266114,1467.833315,1510.620359
7,2013,664,674,912,1136,1472,1175.0,1.4648,0.16783600000000004,775.4431040000001,787.1214640000001,1065.066432,1326.6616960000001,1719.054592
8,2014,665,675,913,1137,1474,1175.0,1.6222,0.15318800000000005,766.8700200000001,778.4019000000001,1052.860644,1311.1747560000001,1699.7991120000002
9,2015,595,605,818,1019,1320,1175.0,0.1186,0.136966,676.49477,687.86443,930.038188,1158.568354,1500.79512
10,2016,615,663,882,1260,1432,1175.0,1.2616,0.13577999999999998,698.5047,753.02214,1001.75796,1431.0828,1626.43696
11,2017,586,637,846,1209,1374,1175.0,2.1301,0.123164,658.1741039999999,715.455468,950.196744,1357.905276,1543.227336
12,2018,646,710,940,1339,1520,1175.0,2.4426,0.101863,711.803498,782.32273,1035.75122,1475.394557,1674.83176
13,2019,657,734,965,1378,1551,1175.0,1.8122,0.07743699999999999,707.876109,790.838758,1039.726705,1484.708186,1671.104787
14,2020,685,778,1014,1457,1617,1205.0,1.2336,0.059315,725.630775,824.14707,1074.14541,1543.421955,1712.912355
15,2021,723,819,1068,1528,1695,1205.0,4.6979,0.046979,756.965817,857.475801,1118.173572,1599.783912,1774.629405
0,2022,728,866,1063,1620,1711,,,,,,,,
