,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,564,623,734,1053,1216,446997.0,3.2259,0.332119,751.315116,829.910137,977.775346,1402.721307,1619.856704
1,2007,584,645,760,1090,1259,446997.0,2.8527,0.29986,759.11824,838.4097,987.8936,1416.8474,1636.52374
2,2008,664,734,864,1239,1431,446997.0,3.8391,0.271333,844.165112,933.158422,1098.431712,1575.181587,1819.277523
3,2009,664,734,864,1239,1431,446997.0,-0.3555,0.232942,818.673488,904.979428,1065.261888,1527.6151380000001,1764.340002
4,2010,715,790,930,1334,1540,446997.0,1.64,0.23649699999999999,884.0953549999999,976.83263,1149.94221,1649.4869979999999,1904.2053799999999
5,2011,696,768,905,1298,1499,446997.0,3.1568,0.22009700000000001,849.187512,937.034496,1104.187785,1583.6859060000002,1828.925403
6,2012,732,808,952,1365,1577,446997.0,2.0693,0.18852900000000003,870.003228,960.3314320000001,1131.479608,1622.342085,1874.3102330000002
7,2013,594,734,941,1387,1609,514453.0,1.4648,0.16783600000000004,693.6945840000001,857.191624,1098.933676,1619.788532,1879.0481240000001
8,2014,575,710,910,1341,1556,514453.0,1.6222,0.15318800000000005,663.0831000000001,818.7634800000001,1049.40108,1546.4251080000001,1794.3605280000002
9,2015,583,720,923,1360,1578,514453.0,0.1186,0.136966,662.851178,818.6155200000001,1049.419618,1546.27376,1794.132348
10,2016,634,717,936,1337,1615,514453.0,1.2616,0.13577999999999998,720.08452,814.35426,1063.09008,1518.53786,1834.2847
11,2017,652,726,938,1340,1620,514453.0,2.1301,0.123164,732.302928,815.417064,1053.527832,1505.0397600000001,1819.52568
12,2018,727,809,1035,1478,1772,514453.0,2.4426,0.101863,801.054401,891.407167,1140.428205,1628.553514,1952.501236
13,2019,722,803,1016,1451,1715,514453.0,1.8122,0.07743699999999999,777.909514,865.181911,1094.675992,1563.361087,1847.804455
14,2020,788,885,1105,1567,1846,535685.0,1.2336,0.059315,834.74022,937.493775,1170.543075,1659.946605,1955.49549
15,2021,890,987,1224,1733,2033,535685.0,4.6979,0.046979,931.81131,1033.368273,1281.5022960000001,1814.414607,2128.508307
0,2022,860,959,1160,1706,1934,,,,,,,,
