,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,471,533,657,904,1152,142361.0,3.2259,0.332119,627.428049,710.019427,875.202183,1204.235576,1534.601088
1,2007,488,551,680,936,1192,142361.0,2.8527,0.29986,634.33168,716.22286,883.9048,1216.66896,1549.4331200000001
2,2008,562,636,784,1079,1374,142361.0,3.8391,0.271333,714.489146,808.5677880000001,996.725072,1371.768307,1746.811542
3,2009,588,665,820,1128,1437,142361.0,-0.3555,0.232942,724.9698960000001,819.90643,1011.01244,1390.758576,1771.737654
4,2010,606,685,845,1163,1481,142361.0,1.64,0.23649699999999999,749.317182,847.000445,1044.839965,1438.046011,1831.252057
5,2011,622,703,867,1193,1520,142361.0,3.1568,0.22009700000000001,758.900334,857.728191,1057.824099,1455.5757210000002,1854.54744
6,2012,538,609,751,1033,1317,142361.0,2.0693,0.18852900000000003,639.428602,723.814161,892.585279,1227.750457,1565.292693
7,2013,523,636,822,1211,1456,174528.0,1.4648,0.16783600000000004,610.778228,742.743696,959.961192,1414.2493960000002,1700.369216
8,2014,514,626,809,1192,1433,174528.0,1.6222,0.15318800000000005,592.738632,721.8956880000001,932.9290920000001,1374.6000960000001,1652.5184040000001
9,2015,476,579,748,1102,1325,174528.0,0.1186,0.136966,541.195816,658.303314,850.450568,1252.936532,1506.47995
10,2016,517,643,836,1173,1460,174528.0,1.2616,0.13577999999999998,587.19826,730.30654,949.51208,1332.26994,1658.2388
11,2017,522,626,822,1123,1434,174528.0,2.1301,0.123164,586.291608,703.100664,923.240808,1261.3131720000001,1610.617176
12,2018,575,687,901,1199,1564,174528.0,2.4426,0.101863,633.571225,756.979881,992.778563,1321.133737,1723.313732
13,2019,612,733,953,1247,1657,174528.0,1.8122,0.07743699999999999,659.391444,789.761321,1026.797461,1343.563939,1785.313109
14,2020,669,781,1027,1365,1744,179955.0,1.2336,0.059315,708.681735,827.325015,1087.916505,1445.964975,1847.44536
15,2021,708,810,1060,1444,1793,179955.0,4.6979,0.046979,741.261132,848.05299,1109.79774,1511.837676,1877.233347
0,2022,739,817,1070,1408,1821,,,,,,,,
